iyear,2015,,,,,
success,(All),,,,,
gname,(All),,,,,
,,,,,,
Row Labels,Count of weaptype1_txt,Sum of nkill,Sum of nwound,Count of attacktype1_txt,,
Australasia & Oceania,14,2,0,14,,
Central America & Caribbean,1,0,0,1,,
Central Asia,10,13,12,10,,
East Asia,28,123,84,28,,
Eastern Europe,684,790,1433,684,,
Middle East & North Africa,6036,17854,23757,6036,,41611
North America,62,63,70,62,,
South America,176,128,145,176,,
South Asia,4585,8300,10233,4585,,
Southeast Asia,1072,646,1386,1072,,
Sub-Saharan Africa,1964,10763,6397,1964,,
Western Europe,333,171,526,333,,
Grand Total,14965,38853,44043,14965,,
,,,,,,
,,,82896,,,
